game,track.id,track.name,track.artist,track.album.name,track.album.release_date,track.album.release_date_precision,track.explicit,track.duration_ms,track.popularity,track.external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Just Dance 2021,0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,J Balvin & Bad Bunny,OASIS,28/06/2019,day,FALSE,249600,67,https://open.spotify.com/track/0uIfrUwwg0Z7KTitul7E3T,0.785,0.792,9,-4.695,0,0.0641,0.0104,0,0.104,0.528,155.036
Just Dance 2021,2stkLJ0JNcXkIRDNF3ld6c,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Randy Newman,Toy Story,01/01/1995,day,FALSE,124160,71,https://open.spotify.com/track/2stkLJ0JNcXkIRDNF3ld6c,0.689,0.333,0,-12.134,0,0.0307,0.817,5.13E-06,0.285,0.471,115.835
Just Dance 2020,7siYgJqhmhcP48M1RzmCUD,Ma Itù,Stella Mwangi,Ma Itù,27/09/2019,day,FALSE,179527,26,https://open.spotify.com/track/7siYgJqhmhcP48M1RzmCUD,0.778,0.732,11,-6.681,1,0.192,0.0134,8.36E-05,0.0679,0.775,127.111
Just Dance 2020,2XWjPtKdi5sucFYtVav07d,365,Zedd & Katy Perry,365,14/02/2019,day,FALSE,181899,66,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039
Just Dance 2020,6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,"thank u, next",08/02/2019,day,TRUE,178626,84,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048
Just Dance 2020,00dAzMJPvfsazSWjr9dJbG,Always Look on the Bright Side of Life - From the Just Dance 2020 Original Game Soundtrack,The Frankie Bostello Orchestra,Always Look on the Bright Side of Life (From the Just Dance 2020 Original Game Soundtrack),28/02/2020,day,FALSE,203586,18,https://open.spotify.com/track/00dAzMJPvfsazSWjr9dJbG,0.562,0.369,6,-13.948,0,0.064,0.247,0.000929,0.0856,0.763,129.535
Just Dance 2020,5ygDXis42ncn6kYG14lEVG,Baby Shark,Pinkfong,Pinkfong Animal Songs,27/07/2017,day,FALSE,80927,76,https://open.spotify.com/track/5ygDXis42ncn6kYG14lEVG,0.829,0.886,8,-1.746,1,0.112,0.259,0,0.0559,0.777,115.056
Just Dance 2020,5st7Icvo5gsx5NGn1hpReV,Bad Boy,Riton & Kah-Lo,Foreign Ororo (Special Edition),26/10/2018,day,FALSE,184894,33,https://open.spotify.com/track/5st7Icvo5gsx5NGn1hpReV,0.712,0.85,1,-5.456,0,0.0504,0.0852,7.45E-05,0.071,0.88,121.978
Just Dance 2020,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",29/03/2019,day,FALSE,194087,84,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
Just Dance 2020,6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),Skrillex & Sirah,Bangarang EP,27/12/2011,day,TRUE,215253,71,https://open.spotify.com/track/6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22E-05,0.317,0.576,110.026
Just Dance 2020,36hJ4qWU3bx0IqDPxxusg6,Bassa Sababa,Netta,Bassa Sababa (Global Remixes),14/09/2018,day,FALSE,178140,50,https://open.spotify.com/track/36hJ4qWU3bx0IqDPxxusg6,0.716,0.774,3,-4.451,0,0.0843,0.0116,0,0.119,0.741,123.942
Just Dance 2020,2qG5sZ7Si6sdK74qLxedYM,Con Altura,"ROSALÍA, J Balvin & El Guincho",Con Altura,28/03/2019,day,FALSE,161626,75,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963
Just Dance 2020,5w9c2J52mkdntKOmRLeM2m,Con Calma,Daddy Yankee & Snow,Con Calma,24/01/2019,day,FALSE,193226,80,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989
Just Dance 2020,4YJqM8HPcHHUHzanJ4kdjE,Everybody (Backstreet's Back),Millennium Alert,Just Dance (Original Creations & Covers from the Video Game),26/06/2020,day,FALSE,228410,24,https://open.spotify.com/track/4YJqM8HPcHHUHzanJ4kdjE,0.826,0.929,10,-4.476,0,0.05,0.0355,0.000392,0.0843,0.834,108.033
Just Dance 2020,0W5hTAWn8Tq0Qfhg1XP3YW,FANCY,TWICE,FANCY YOU,22/04/2019,day,FALSE,213880,0,https://open.spotify.com/track/0W5hTAWn8Tq0Qfhg1XP3YW,0.697,0.874,5,-2.15,0,0.045,0.0122,0,0.627,0.775,132.022
