name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
Beefmaker#3697912,273,8796,1.033364662,18,192,9,111,22263,1452,1247,7.723404255,188,1654,87859,4564600,75.42727273,110122,8512,
Ray_Moe21#9874862,267,1900,0.65585088,6,137,7,111,614,1243,312,69.05555556,18,343,3513,2358366,4.267095736,4127,2897,
snave#6053670,287,7751,0.930492197,13,64,10,111,27281,654,1246,2.202020202,297,1751,93164,1053155,209.6110092,120445,8330,
bdabliu#7170816,10,14,0.424242424,0,3,0,0,0,14,1,14,0,0,0,11150,0,0,33,
Alex Garza 28#7025127,169,2334,0.886104784,12,44,9,110,7642,410,336,5.125,80,409,33885,628181,102.2809756,41527,2634,
Btothatizzle#8019314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Veenadouu#2734479,761,19071,1.185491391,13,251,15,110,41944,1895,3447,5.429799427,349,1963,187960,7087410,92.60485488,229904,16087,
alias_regroupe#5107968,1,3,0.088235294,0,1,0,0,0,1,0,1,0,2,3,500,132.6,3,34,
kilo1891#2929679,138,5723,0.969014561,11,171,7,111,9355,1877,834,16.75892857,112,714,53278,3673742,30.78060735,62633,5906,
sappyasian#6143245,0,5,0.087719298,0,2,0,110,0,17,1,17,0,15,0,4275,0,0,57,
Tim586#7533989,57,682,0.982708934,7,22,5,110,2426,105,140,5.526315789,19,191,11869,182385,87.86285714,14295,694,
drummersweg#7059888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
shanhe#9830930,6,38,0.260273973,3,5,15,0,234,24,5,4,6,32,2511,22045,187.125,2745,146,
SisterlyConch13#4444136,0,851,0.945555556,0,51,1,110,0,362,197,362,0,75,0,850943,0,0,900,
TigerCrazy_1285#5616126,0,14,0.162790698,0,6,0,110,0,44,4,44,0,19,0,22847,0,0,86,
byos#1375820,29,364,0.991825613,8,22,4,27,1061,79,53,8.777777778,9,45,5107,192270,59.00506329,6168,367,
p_gluszek#6717119,62,375,0.88028169,10,18,2,4,1056,75,54,5.769230769,13,44,5257,127622,138.44,6313,426,
Diablo-Deo#4569430,1,485,0.490394338,0,34,3,111,1,474,86,474,0,182,8,383365,0.026582278,9,989,
White#5231165,0,14,1.166666667,0,3,0,0,0,7,3,7,0,0,0,7550,0,0,12,
alone55,168,3075,0.942095588,11,36,7,55,11950,297,374,2.43442623,122,841,52216,427805,348.8444444,64166,3264,
TiTcon57100#8450726,150,5281,0.912404976,12,177,9,114,8064,1304,759,14.98850575,87,690,48820,3915523,58.12361963,56884,5788,
ChrisFarleyMyDad#6246082,706,25527,0.95743005,17,179,16,44,83744,1472,4542,2.257668712,652,6628,299423,3990314,245.9824728,383167,26662,
Kevin#9770267,330,4559,0.747254548,11,50,12,110,12761,658,747,3.178743961,207,830,43777,807781,218.1091185,56538,6101,
brice2644#8781206,29,813,0.971326165,21,22,4,110,2745,100,121,4.166666667,24,162,12454,185538,139.476,15199,837,
stayhighmaine#5752318,96,843,0.593661972,10,16,3,110,3471,152,109,4.342857143,35,184,23452,111610,297.9513158,26923,1420,
Vedad_Arnad0911#7614644,0,29,0.3625,0,5,0,110,0,33,4,33,0,1,0,22178,0,0,80,
bermeaz04#3972912,4,567,0.779917469,0,37,4,111,0,295,99,295,0,211,0,457501,0,0,727,
瘋狂貓咪#8562444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
giannisAK47#8919671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
PantherD1943#7584942,471,19526,0.948923555,17,167,18,58,63602,1464,3291,1.56745182,934,4956,266612,3486389,245.6872951,330214,20577,
VaffelKake-Ante#5011654,0,177,0.673003802,0,15,0,1,0,79,34,79,0,0,0,99182,0,0,263,
Kamdoggie15,26,522,0.662436548,10,12,6,0,1480,54,62,2.16,25,92,4621,72878,290.9888889,6101,788,
TheKingTino#5989048,0,5,0.052631579,0,2,0,110,0,36,0,36,0,7,0,5918,0,0,95,
APPLEBOI#7116787,3,92,0.741935484,7,4,3,0,381,7,13,1.75,4,19,1625,14145,276.6857143,2006,124,
eltonberg05#9717480,6,119,0.650273224,10,5,3,0,401,19,19,3.8,5,31,2723,19430,139.8947368,3124,183,
LuisHlic96#8035230,131,295,0.416078984,6,30,9,110,507,231,44,12.83333333,18,48,2402,319395,33.65454545,2909,709,
